"Target String","URL Safe String","User","Hub","Hub Type","Event Title","Event Locale"
".com",".com","Robert Frey","Stonebridge Group","PERSONAL","RBC Tennis Championships of Dallas VIP Experience","en_US"
".com",".com","Robert Frey","Stonebridge Group","PERSONAL","RBC Tennis Championships of Dallas Feb 4-10, 2019","en_US"
".com",".com","Julian M. Korber","The Cirque Investment Group","PERSONAL","From tariffs to tequila:  understanding today's economy","en_US"
".com",".com","Stephen A Drake","The Drake Group","PERSONAL","Thinking about what comes next - The road ahead: outlook for 2019","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: Know more. Save more.","en_US"
".com",".com","Paul Westphal","WE Wealth Management Group","PERSONAL","Economic Outlook for 2019: What are the implications?","en_US"
".com",".com","John Larsen","The Larsen Group","PERSONAL","A better understanding of Social Security and Medicare","en_US"
".com",".com","Ken Cerruto","REACH Wealth Solutions","PERSONAL","Choppy and frustrating, but no recession","en_US"
".com",".com","Matthew G Lanham","GEN Group","PERSONAL","Maximize Your Roth - How to use your 401(k) to increase tax-free growth","en_US"
".com",".com","Alexandra Mass","The Droster Team","PERSONAL","How prepared are you to live well in retirement?","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: When I retire or leave my company","en_US"
".com",".com","Mark Borcherding","Leawood","OFFICE","Market Outlook for 2019 and Megatrends in Technology Driving Our Future","en_US"
".com",".com","Aaron Gingrich","The Sides Group","PERSONAL","Growing Signs of Uncertain Times","en_US"
".com",".com","Ruth Kitzmann","Ruth M. Kitzmann, AWM","PERSONAL","A better understanding of Social Security and Medicare","en_US"
".com",".com","Timothy Hayes","Timothy Hayes","PERSONAL","Deep Value Money Management Discipline","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: The realty of debt","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: The realty of debt","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: Organizing your financial life","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: Planning for the unexpected","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: Start saving for college","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: Planning for potentially retiring","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: The real budget","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: Last few years of life","en_US"
".com",".com","Mitchell Pearl","Blue Water Investment Group","PERSONAL","Complimentary RBC WealthPlan","en_US"
".com",".com","Lou Foran","The Foran Group","PERSONAL","Long Term Care:  Educational Meeting","en_US"
".com",".com","Robert Frey","Stonebridge Group","PERSONAL","Stonebridge Group Alternative Investments Dinner with Owl Rock","en_US"
".com",".com","Mitchell Pearl","Mitchell Pearl, AWM, CFP®","PERSONAL","Complimentary WealthPlan","en_US"
".com",".com","Edward Murphy","Murphy Hall Group","PERSONAL","Bringing Purpose to your Wealth","en_US"
".com",".com","Jackie Hall","Jackie Hall","PERSONAL","Bringing Purpose to your Wealth","en_US"
".com",".com","Joseph LaValle","The LaValle Investment Group","PERSONAL","Extended Care  -  Leveraging the Power of Long Term Care","en_US"
".com",".com","Tom J. Delich","Delich Wealth Management Group","PERSONAL","RBC Wealth Management 7th Annual Shred Event","en_US"
".com",".com","Ken Cerruto","REACH Wealth Solutions","PERSONAL","Choppy and frustrating, but no recession","en_US"
".com",".com","H James Smith III","The Shaeffer Wealth Advisory Group","PERSONAL","8,000 Days - An Entire Phase of Life Waiting to be Invented","en_US"
".com",".com","Paul Westphal","WE Wealth Management Group","PERSONAL","A better understanding of Social Security and Medicare","en_US"
".com",".com","Joseph LaValle","The LaValle Investment Group","PERSONAL","Extended Team Care","en_US"
".com",".com","Joseph LaValle","The LaValle Investment Group","PERSONAL","Event test","en_US"
".com",".com","Alison Gardner","Suncoast Pearl Wealth Group","PERSONAL","dTest","en_US"
".com",".com","Paul Westphal","WE Wealth Management Group","PERSONAL","A better understanding of Social Security and Medicare","en_US"
".com",".com","Scott Giltinan","Scott Giltinan","PERSONAL","Deep Value Money Management Discipline Seminar","en_US"
".com",".com","Julene Melquist","Koch Wealth Solutions","PERSONAL","Creating and maintaining wealth through dividends","en_US"
".com",".com","Julene Melquist","Koch Wealth Solutions","PERSONAL","Creating and maintaining wealth through dividends","en_US"
".com",".com","Katie S Clark","Katie Clark, CRPC®","PERSONAL","March Webinar: ""Rewriting Retirement""","en_US"
".com",".com","RC Mench","Mench-Keenan Wealth Management Group","PERSONAL","Women and Investing 101","en_US"
".com",".com","Joseph LaValle","The LaValle Investment Group","PERSONAL","Extended Care  -  Leveraging the Power of Long Term Care","en_US"
".com",".com","Brian Bell","St. Louis Wealth Management Group","PERSONAL","Rewriting Retirement: Exploring the shifting mindset of a new generation of retirees","en_US"
".com",".com","Angelica Nelson","Denver Tech","OFFICE","Denver Tech BBQ","en_US"
".com",".com","Ken Cerruto","REACH Wealth Solutions","PERSONAL","Around the World in 20 Minutes","en_US"
".com",".com","Edward Heyes","Edward Heyes, AWM","PERSONAL","2019 Outlook and Emerging Themes","en_US"
".com",".com","Russell Mansfield","Charlotte","OFFICE","RBC Shred Event | 4/27/2019 | 9am-Noon","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","WebEx401(k) Legislative & Regulatory Update: The SECURE Act and other pending legislation","en_US"
".com",".com","John Larsen","The Larsen Group","PERSONAL","Investing now for tomorrow's retirement income","en_US"
".com",".com","Anthony Marrelli","The Marrelli Group","PERSONAL","Test 2019","en_US"
".com",".com","Matthew Buzzell","The Buzzell Strum Group","PERSONAL","2019 Shred Event - Wednesday, May 15th from 1pm to 4pm","en_US"
".com",".com","James L Jackson","Johnson McKee Jackson & Associates","PERSONAL","Creating a Paycheck in Retirement","en_US"
".com",".com","Ken Cerruto","REACH Wealth Solutions","PERSONAL","Rewriting Retirement: Exploring the shifting mindset","en_US"
".com",".com","Edward Murphy","Murphy Hall Group","PERSONAL","Wealth, Wine & Wall Street","en_US"
".com",".com","John Perry","The Perry Group","PERSONAL","Patrick's Fundraiser BBQ","en_US"
".com",".com","Scott Heck","The JMS Group","PERSONAL","Planning for the unexpected: Understanding your Options - Long Term Care seminar","en_US"
